,sentyr,songername,demean_logprisonsentmonths,christian,aba_best,x_black,x_dem,age,trial,gender
4505,1998,"FUSTE, JOSE ANTONIO",0.07538735121488571,0.0,0.0,0.0,0.0,55.0,0.2448979616165161,1.0
12062,1993,"SCHWARTZ, ALLEN G.",2.015418529510498,0.0,1.0,0.0,1.0,59.0,0.0,1.0
141,2004,"ALDRICH, ANN",-0.5124779343605042,1.0,0.0,0.0,1.0,77.0,0.0,0.0
10917,1991,"PRADO, EDWARD CHARLES",-1.0572302341461182,0.0,0.0,0.0,0.0,44.0,0.0,1.0
309,2007,"ANDERSON, PERCY",-0.15261535346508026,0.0,1.0,1.0,0.0,59.0,0.0,1.0
8258,2005,"LISI, MARY MONA",-0.12044050544500351,0.0,0.0,0.0,1.0,55.0,0.09302325546741486,0.0
1642,2011,"BUCKLO, ELAINE F.",-0.5407832264900208,0.0,1.0,0.0,1.0,67.0,0.0833333358168602,0.0
7881,2008,"LAWSON, R. HUGH, JR.",-0.027903534471988678,1.0,1.0,0.0,1.0,67.0,0.07792207598686218,1.0
9747,2009,"MOSMAN, MICHAEL W.",0.6530637741088867,0.0,1.0,0.0,0.0,53.0,0.0,1.0
13691,2003,"TINDER, JOHN D.",-0.1195087730884552,0.0,0.0,0.0,0.0,53.0,0.13725490868091583,1.0
14162,1997,"VRATIL, KATHRYN H.",-1.1559200286865234,1.0,0.0,0.0,0.0,48.0,0.0,0.0
