,sentyr,judgeid,disparity_sex,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,black_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
736,2009,"CAMPBELL, TENA",-0.0756620392203331,0.0,0.0,0.021276595070958138,0.0,0.0,0.0,0.0,0.0,-0.0797872394323349,0.021276595070958138,-0.10106383264064789,0.0,-0.18617022037506104,0.3404255211353302,0.0,0.0,0.08510638028383255,0.021276595070958138,-0.14361701905727386,0.0,0.0,0.021276595070958138,0.042553190141916275,0.0,-0.10106384754180908,0.0,14.0
2074,2008,"HALL, JANET C.",0.11307606846094131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.10000000149011612,0.0,-0.800000011920929,0.10000000149011612,0.0,0.0,0.30000001192092896,0.10000000149011612,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0.3999999761581421,0.0,11.0
1313,2010,"DICLERICO, JOSEPH A., JR.",0.1862311065196991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1190476268529892,0.0,0.2857142984867096,0.0,-0.523809552192688,0.0714285746216774,0.0,0.0,0.0,0.0,0.2142857164144516,0.0714285746216774,0.0,0.0,-0.5952380895614624,0.0714285746216774,0.35714292526245117,1.0,18.0
2986,2011,"LARIMER, DAVID G.",-0.012020846828818321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4030612111091614,0.0,0.10204081982374191,0.0,-0.4183673560619354,0.12244898080825806,0.0,0.0,0.040816325694322586,0.0,0.0,-0.25,0.0,0.0,-0.23979592323303223,0.0,-0.2142857313156128,1.0,24.0
951,2003,"COLLIER, CURTIS L.",-0.06748967617750168,0.0,0.0,0.029411764815449715,0.0,0.0,0.0,-0.19117647409439087,0.0,-0.029411762952804565,0.0,0.1764705926179886,0.0,0.029411764815449715,0.20588235557079315,0.0,0.0,0.0,-0.22058823704719543,0.0,0.0,0.0,0.0,0.014705896377563477,0.0882352963089943,0.32352936267852783,1.0,8.0
4912,2005,"STEELE, JOHN E.",0.1387801617383957,0.03448275849223137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5241379737854004,0.0,0.27586206793785095,0.0,-0.16551724076271057,0.24137930572032928,0.0,0.0,0.1034482792019844,0.0,0.03448275849223137,0.0,0.0,0.0,-0.12413793802261353,-0.09655172377824783,0.22068965435028076,1.0,5.0
2796,2011,"KENNELLY, MATTHEW F.",0.031113918870687485,0.0,0.0,0.0,0.0,0.0,0.0714285746216774,0.0,0.0,0.5714285969734192,0.0,0.0714285746216774,0.0,-1.0,0.0714285746216774,0.0,0.0714285746216774,0.1428571492433548,0.0,0.0,0.0,0.0,0.0,0.2142857164144516,0.1428571492433548,0.6428571939468384,1.0,12.0
2822,2007,"KING, GARR M.",0.1860739141702652,0.0,0.0,0.024390242993831635,0.0,0.0,0.0,0.0,0.0,0.2195121943950653,0.0,0.26829269528388977,0.0,0.09756097197532654,0.024390242993831635,-0.9268292784690857,0.0,0.1463414579629898,0.0,0.04878048598766327,0.024390242993831635,0.0,0.0731707289814949,0.09756097197532654,0.04878048598766327,0.3658536672592163,1.0,9.0
557,2003,"BRODY, ANITA B.",0.25823333859443665,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.699999988079071,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3999999761581421,-0.30000001192092896,0.5999999046325684,0.0,11.0
3247,2008,"MANNING, BLANCHE M.",0.1265026330947876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20454543828964233,0.0,0.0,0.0,-0.11363635957241058,0.1818181872367859,0.0,0.0,0.09090909361839294,0.0,0.04545454680919647,0.0,0.0,0.0,0.25,0.0,1.0,0.0,14.0
