,sentyr,judgeid,demean_harshness,race1,race2,race3,race4,race5,race6,race7,race8,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8,cr9,cr10,cr11,cr12,cr13,cr14,cr15,cr16,cr17,cr18,cr19,cr20,cr21,cr22,monsex,trial,nocounts,malejudge,judge_yearsonbench
1589,2011,"DANIELS, GEORGE B.",-0.020303549244999886,0.6000000238418579,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.4000000059604645,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,1.399999976158142,1.0,11
3409,2003,"JENKINS, BRUCE S.",-0.028151512145996094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,25
3862,2009,"KOELTL, JOHN G.",-0.02682860754430294,0.6363636255264282,0.3636363744735718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27272728085517883,0.0,0.1818181872367859,0.0,0.09090909361839294,0.3636363744735718,0.0,0.0,0.0,0.0,0.09090909361839294,0.0,0.0,0.0,0.0,0.0,1.2727272510528564,1.0,15
2393,2006,"GARCIA, ORLANDO L.",-0.010077405720949173,0.9333333373069763,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667014360428,0.3333333432674408,0.0,0.4000000059604645,0.0,0.06666667014360428,0.06666667014360428,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.5625,1.0,12
5188,2004,"NOWLIN, JAMES R.",0.12143493443727493,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,23
2871,2009,"HAYES, WILLIAM Q.",-0.051304928958415985,0.8863636255264282,0.0,0.0,0.04545454680919647,0.0,0.0,0.06818182021379471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02380952425301075,0.0,0.4761904776096344,0.0,0.0714285746216774,0.0,0.02380952425301075,0.3333333432674408,0.0,0.0,0.02380952425301075,0.0,0.0,0.02380952425301075,0.0,0.02380952425301075,0.06818182021379471,0.09090909361839294,1.3409091234207153,1.0,6
4402,2009,"MARRA, KENNETH A.",-0.0507797971367836,0.6037735939025879,0.3962264060974121,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584961891174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3962264060974121,0.0,0.15094339847564697,0.056603774428367615,0.2075471729040146,0.01886792480945587,0.0,0.0,0.056603774428367615,0.01886792480945587,0.01886792480945587,0.01886792480945587,0.01886792480945587,0.0,0.056603774428367615,0.07547169923782349,2.339622735977173,1.0,7
2968,2006,"HIBBLER, WILLIAM J.",-0.07554546743631363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,7
3653,2007,"KATZ, DAVID A.",-0.0507376454770565,0.47058823704719543,0.47058823704719543,0.0,0.0,0.0,0.05882352963089943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411765933036804,0.0,0.05882352963089943,0.11764705926179886,0.11764705926179886,0.05882352963089943,0.0,0.0,0.23529411852359772,0.0,0.05882352963089943,0.05882352963089943,0.0,0.0,0.05882352963089943,0.05882352963089943,2.058823585510254,1.0,13
4534,2005,"MAYS, SAMUEL H., JR.",0.1086137592792511,0.21212121844291687,0.7878788113594055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142873108387,0.0,0.0,0.0,0.0,0.17142857611179352,0.0,0.4285714328289032,0.0,0.11428571492433548,0.02857142873108387,0.0,0.0,0.05714285746216774,0.05714285746216774,0.08571428805589676,0.0,0.02857142873108387,0.0,0.1428571492433548,0.02857142873108387,1.514285683631897,1.0,3
6539,2004,"SPARKS, SAM",0.13914430141448975,0.6590909361839294,0.34090909361839294,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27272728085517883,0.0,0.4545454680919647,0.04545454680919647,0.06818182021379471,0.0,0.0,0.0,0.04545454680919647,0.06818182021379471,0.022727273404598236,0.0,0.0,0.0,0.06818182021379471,0.022727273404598236,1.3636363744735718,1.0,13
