,sentyr,judgeid,disparity_race,monsex_disparity,nocounts_disparity,gender,x_black,x_dem,aba_best,christian
2888,2005,"PANNELL, CHARLES A., JR.",0.021299995481967926,0.07999999821186066,1.4514286518096924,1.0,0.0,1.0,1.0,1.0
1182,2006,"FENNER, GARY A.",0.07569161057472229,-0.1980392336845398,-0.16078436374664307,1.0,0.0,1.0,1.0,0.0
1296,2004,"FULLAM, JOHN P.",4.967053879312289e-09,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1565,2009,"HADDON, SAM E.",0.5001475811004639,-0.19480518996715546,-0.15584421157836914,1.0,0.0,0.0,1.0,0.0
1469,2008,"GOTTSCHALL, JOAN B.",-0.0082240654155612,0.20000000298023224,0.5666667222976685,0.0,0.0,1.0,0.0,1.0
1945,2005,"JORDAN, KENT A.",0.0071362582966685295,-0.09941520541906357,-0.27485382556915283,1.0,0.0,0.0,1.0,0.0
485,2008,"CAMPBELL, DAVID G.",-0.20565062761306763,-0.0555555559694767,1.2777777910232544,1.0,0.0,0.0,1.0,0.0
3242,2010,"RUFE, CYNTHIA M.",-0.0007203408749774098,-0.10000000149011612,-3.190908908843994,0.0,0.0,0.0,1.0,0.0
669,2004,"COHN, AVERN L.",-0.04591914266347885,0.0476190485060215,-3.4940476417541504,1.0,0.0,1.0,0.0,0.0
981,2005,"DLOTT, SUSAN J.",0.014815893024206161,-0.20000000298023224,-0.5238094329833984,0.0,0.0,1.0,1.0,0.0
2143,2005,"KOVACHEVICH, ELIZABETH A.",-0.09673038870096207,-0.07692307978868484,-2.384615421295166,0.0,0.0,0.0,0.0,0.0
798,2004,"CRABB, BARBARA B.",0.00963704101741314,-0.03205128014087677,-0.442307710647583,0.0,0.0,1.0,0.0,1.0
2027,2004,"KELLY, ROBERT F.",0.01610654778778553,0.0,2.0,1.0,0.0,0.0,1.0,0.0
1088,2009,"EDMUNDS, NANCY G.",0.00544416019693017,0.0,0.75,0.0,0.0,0.0,1.0,0.0
1070,2008,"DUVAL, STANWOOD R., JR.",-1.9402554216063628e-11,0.0833333358168602,-0.33333325386047363,1.0,0.0,1.0,0.0,0.0
614,2010,"CHESNEY, MAXINE M.",0.02178018167614937,0.0,0.2916666269302368,0.0,0.0,1.0,1.0,0.0
2405,2007,"MARTIN, BEVERLY B.",-0.01839641109108925,-0.005494505167007446,1.3956044912338257,0.0,0.0,1.0,1.0,0.0
3612,2006,"SPATT, ARTHUR D.",0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0
212,2008,"BENITEZ, ROGER T.",0.012777760624885559,-0.04444444552063942,-0.9111111164093018,1.0,0.0,0.0,0.0,0.0
2866,2005,"O'MALLEY, KATHLEEN M.",0.0015392462955787778,0.0,-0.3221052885055542,0.0,0.0,1.0,1.0,0.0
2412,2009,"MARTINEZ, JOSE E.",0.11619848012924194,0.062337666749954224,-0.568831205368042,1.0,0.0,0.0,0.0,0.0
2477,2006,"MCBRYDE, JOHN H.",0.07280480861663818,0.01249999925494194,-0.11249995231628418,1.0,0.0,0.0,1.0,1.0
688,2009,"COLLIER, CURTIS L.",-0.011032817885279655,-0.08880309760570526,-0.2864863872528076,1.0,1.0,1.0,1.0,1.0
252,2008,"BLACKBURN, ROBERT E.",-0.01497967354953289,0.2534562349319458,0.34375,1.0,0.0,0.0,1.0,0.0
36,2006,"ALAIMO, ANTHONY A.",0.09711483120918274,-0.4750000238418579,0.0,1.0,0.0,0.0,0.0,1.0
1046,2009,"DOWNES, WILLIAM F.",0.05616658553481102,-0.09756097197532654,0.7682926654815674,1.0,0.0,1.0,1.0,0.0
3839,2009,"THOMPSON, MYRON H.",-0.037807025015354156,0.16129031777381897,1.2580647468566895,1.0,1.0,1.0,0.0,1.0
2542,2009,"MCLAUGHLIN, MARY A.",0.03302930295467377,0.05833332985639572,-0.5166666507720947,0.0,0.0,1.0,1.0,0.0
3062,2004,"RAFEEDIE, EDWARD",-0.14898130297660828,0.0,-0.615384578704834,1.0,0.0,0.0,1.0,0.0
3116,2011,"REED, EDWARD C., JR.",0.031330693513154984,-0.0476190485060215,0.20000004768371582,1.0,0.0,1.0,0.0,1.0
4001,2006,"VINING, ROBERT L., JR.",0.0,0.0,2.5,1.0,0.0,1.0,1.0,1.0
3509,2008,"SIMPSON, CHARLES R., III",-0.018336741253733635,-0.006535947322845459,0.4575164318084717,1.0,0.0,0.0,0.0,0.0
1320,2009,"GAITAN, FERNANDO J., JR.",0.07698028534650803,-0.1818181872367859,-0.6363635063171387,1.0,1.0,0.0,1.0,1.0
1591,2008,"HAMILTON, JEAN C.",0.06428415328264236,-0.1599999964237213,-0.16181814670562744,0.0,0.0,0.0,1.0,1.0
918,2008,"DEARIE, RAYMOND J.",-0.02080746367573738,-0.03896103799343109,-0.3636363744735718,1.0,0.0,0.0,0.0,0.0
375,2005,"BROWN, ANNA J.",-0.012533160857856274,-0.12121212482452393,-1.079545497894287,0.0,0.0,1.0,0.0,0.0
3854,2007,"THRASH, THOMAS W., JR.",0.0050900159403681755,0.06666667014360428,-11.087878227233887,1.0,0.0,1.0,1.0,1.0
3745,2004,"STROM, LYLE E.",-0.019107788801193237,-0.20129871368408203,-0.20129871368408203,1.0,0.0,0.0,1.0,0.0
