,sentyr,judgeid,disparity_race,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,monsex_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
5030,2008,"ROBERTS, VICTORIA A.",-0.012204870581626892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857015132904,0.0,-0.5714285969734192,0.0,0.3333333432674408,0.0,0.0,0.0,-0.1428571492433548,0.0,0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,-0.1428571492433548,-1.2857143878936768,0.0,10.0
2831,2011,"HOYT, KENNETH M.",-0.059505362063646317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,-0.25,1.0,23.0
6305,2004,"WARE, JAMES",-0.11616452038288116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,-0.10000000149011612,-0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.8999999761581421,1.0,14.0
3389,2007,"KOLLAR-KOTELLY, COLLEEN",-0.029541656374931335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785714328289032,0.0,-0.1071428507566452,0.0,0.035714298486709595,0.0,0.0,0.0,-0.25,0.0,0.1428571492433548,0.0,0.0,0.0,0.0,0.1428571492433548,-0.6071428060531616,0.0,10.0
6206,2010,"VINING, ROBERT L., JR.",0.09398999065160751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2222222238779068,0.0,-0.3333333432674408,0.0,0.8888888955116272,-0.2222222238779068,0.0,0.0,-0.1111111119389534,0.0,0.0,0.0,0.0,0.0,-0.1111111119389534,-0.2222222238779068,-1.7777776718139648,1.0,31.0
5651,2006,"SMITH, WALTER S., JR.",0.02970973402261734,0.0555555559694767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07894736528396606,0.0,0.23099416494369507,0.001461988314986229,-0.07894736528396606,0.0,0.0,0.0,-0.10526315867900848,0.0,-0.02631578966975212,0.0,-0.02631578966975212,0.02777777798473835,-0.15497076511383057,0.01461988314986229,-0.23245608806610107,1.0,22.0
4620,2007,"PALLMEYER, REBECCA R.",0.14811302721500397,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111119389534,0.0555555559694767,-0.05555558204650879,0.0,0.1111111119389534,0.0,0.055555559694767,-0.2222222238779068,0.0,0.0,0.0,0.0,-0.0555555559694767,0.0,0.0,0.0,0.0555555559694767,0.055555559694767,0.8888888359069824,0.0,9.0
2356,2006,"GRANADE, CALLIE V.",0.06545066088438034,0.03333333507180214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411762952804565,0.0,0.15294118225574493,0.003921570256352425,-0.029411764815449715,-0.0882352963089943,0.0,0.0,-0.20588235557079315,0.0,0.03725490719079971,0.0,0.03333333507180214,0.03333333507180214,-0.11372549831867218,0.011764705181121826,-0.10784304141998291,0.0,4.0
18,2007,"ADAMS, JOHN R.",-0.10235773026943207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2410256564617157,0.0,-0.18974360823631287,-0.06666667014360428,0.19487178325653076,-0.13333334028720856,-0.13333334028720856,0.0,-0.06666667014360428,0.0,0.07692307978868484,0.0,0.07692307978868484,0.0,0.16410255432128906,0.08717948943376541,4.061538219451904,1.0,4.0
5836,2010,"STENGEL, LAWRENCE F.",0.0024003973230719566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1818181872367859,0.0,0.1818181872367859,0.0,0.09090909361839294,-0.27272728085517883,0.0,0.0,0.0,0.0,0.1818181872367859,0.0,0.0,0.0,0.09090909361839294,0.09090909361839294,0.454545259475708,1.0,6.0
2654,2005,"HIGHSMITH, SHELBY",-0.04965381324291229,-0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285671710968,0.0,0.0,0.0,0.4285714328289032,-0.3571428656578064,0.0,0.0,0.0,0.0,0.0,0.0,-0.0714285746216774,0.0,0.0,-0.2857142984867096,-1.6428570747375488,1.0,14.0
6189,2007,"VAZQUEZ, MARTHA A.",0.02560831792652607,0.0,0.0,0.0,0.0,0.0,-0.0555555559694767,0.0,0.0,0.1111111044883728,0.0,-0.1111111119389534,0.0,0.5,-0.3888888955116272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0555555559694767,-0.1111111119389534,-0.0555555559694767,0.5,0.0,14.0
4626,2004,"PANNELL, CHARLES A., JR.",-1.8804200863087317e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3571428656578064,0.0,0.3285714387893677,0.0,0.18571430444717407,-0.12857142090797424,0.0,0.0,0.0714285746216774,-0.10000000149011612,0.0,0.0,0.0,0.0,0.1428571492433548,0.15714286267757416,5.157142639160156,1.0,5.0
6643,2011,"ZATKOFF, LAWRENCE P.",0.12722007930278778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.3333333432674408,0.0,-0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,-1.3333332538604736,1.0,25.0
2283,2004,"GOLD, ALAN S.",-0.05682416260242462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027149319648742676,0.0,0.3076923191547394,0.0,0.07692307978868484,-0.1764705926179886,0.0,0.0,-0.11764705926179886,0.0,0.0,-0.05882352963089943,-0.05882352963089943,0.0,0.11312217265367508,0.11312217265367508,0.38914036750793457,1.0,7.0
